sample type,analyte,sample.day,sample.month,sample.year,sample.date,stream,stream.location,original.concentration.ugL,,analysis.lab,convert.concentration.ugl
nutrients,NH4,6,9,2019,2019-09-06,ws55,seep,0,,CAIS,0
nutrients,NO3,6,9,2019,2019-09-06,ws55,seep,0,,CAIS,0
nutrients,NO3,27,9,2019,2019-09-27,towr,seep,0,,,
nutrients,NH4,11,10,2019,2019-10-11,towr,seep,0,,,
nutrients,NH4,8,11,2019,2019-11-08,towr,seep,0,,,
nutrients,NO3,8,11,2019,2019-11-08,towr,seep,0,,,
nutrients,NH4,8,11,2019,2019-11-08,ws55,seep,0,,,
nutrients,NH4,22,11,2019,2019-11-22,towr,seep,0,,,
nutrients,NH4,18,12,2019,2019-12-18,towr,seep,0,,,
nutrients,NH4,18,12,2019,2019-12-18,ws55,seep,0,,,
nutrients,NH4,6,1,2020,2020-01-06,ws55,seep,0,,,
nutrients,NO3,6,1,2020,2020-01-06,ws55,seep,0,,,
nutrients,NH4,3,2,2020,2020-02-03,towr,seep,0,,,
nutrients,NH4,21,2,2020,2020-02-21,towr,seep,0,,,
nutrients,NH4,21,2,2020,2020-02-21,ws55,seep,0,,,
nutrients,NH4,6,3,2020,2020-03-06,towr,seep,0,,,
nutrients,NH4,6,3,2020,2020-03-06,ws55,seep,0,,,
nutrients,NH4,20,3,2020,2020-03-20,towr,seep,0,,,
nutrients,NH4,20,3,2020,2020-03-20,ws55,seep,0,,,
nutrients,NH4,7,4,2020,2020-04-07,towr,seep,0,,,
nutrients,NH4,7,4,2020,2020-04-07,ws55,seep,0,,,
nutrients,NO3,7,4,2020,2020-04-07,ws55,seep,0,,,
nutrients,NH4,24,4,2020,2020-04-24,towr,seep,0,,,
nutrients,NO3,9,6,2020,2020-06-09,ws55,seep,0,,,
nutrients,NH4,23,6,2020,2020-06-23,towr,seep,0,,,
nutrients,NH4,7,7,2020,2020-07-07,towr,seep,0,,,
nutrients,NH4,21,7,2020,2020-07-21,towr,seep,0,,,
nutrients,NH4,4,8,2020,2020-08-04,towr,seep,0,,,
nutrients,NO3,4,8,2020,2020-08-04,towr,seep,0,,,
nutrients,NH4,20,10,2020,2020-10-20,towr,seep,0,,,
nutrients,NH4,20,10,2020,2020-10-20,ws55,seep,0,,,
nutrients,NO3,3,11,2020,2020-11-03,ws55,seep,0,,,
nutrients,NH4,17,11,2020,2020-11-17,ws55,seep,0,,,
nutrients,NO3,15,12,2020,2020-12-15,towr,seep,0,,,
nutrients,NO3,5,1,2021,2021-01-05,ws55,seep,0,,,
nutrients,NO3,4,2,2021,2021-02-04,ws55,seep,0,,,
nutrients,NH4,4,3,2021,2021-03-04,ws55,seep,0,,,
nutrients,NO3,4,3,2021,2021-03-04,ws55,seep,0,,,
nutrients,NH4,16,3,2021,2021-03-16,towr,seep,0,,,
nutrients,NH4,16,3,2021,2021-03-16,ws55,seep,0,,,
nutrients,SRP,31,5,2021,2021-05-31,towr,seep,0,,,
nutrients,NH4,13,7,2021,2021-07-13,towr,seep,0,,,
nutrients,NO3,13,7,2021,2021-07-13,ws55,seep,0,,,
nutrients,NH4,27,7,2021,2021-07-27,towr,seep,0,,,
nutrients,NO3,27,7,2021,2021-07-27,ws55,seep,0,,,
nutrients,NH4,9,8,2021,2021-08-09,towr,seep,0,,,
nutrients,NH4,16,3,2021,2021-03-16,towr,upstream,0,blue,,
nutrients,NO3,8,5,2018,2018-05-08,towr,upstream,0,,ESL,0
nutrients,NH4,19,9,2018,2018-09-19,towr,upstream,0,,CAIS,0
nutrients,NH4,3,10,2018,2018-10-03,towr,upstream,0,,CAIS,0
nutrients,NH4,7,11,2018,2018-11-07,towr,upstream,0,,CAIS,0
nutrients,NH4,20,11,2018,2018-11-20,towr,upstream,0,,CAIS,0
nutrients,NO3,20,11,2018,2018-11-20,towr,upstream,0,,CAIS,0
nutrients,NH4,18,12,2018,2018-12-18,towr,upstream,0,,CAIS,0
nutrients,NO3,18,12,2018,2018-12-18,towr,upstream,0,,CAIS,0
nutrients,NO3,15,1,2019,2019-01-15,towr,upstream,0,,CAIS,0
nutrients,NH4,1,2,2019,2019-02-01,towr,upstream,0,,CAIS,0
nutrients,SRP,1,2,2019,2019-02-01,towr,upstream,0,,CAIS,0
nutrients,NH4,10,4,2019,2019-04-10,towr,upstream,0,,CAIS,0
nutrients,NO3,10,4,2019,2019-04-10,towr,upstream,0,,CAIS,0
nutrients,NH4,6,9,2019,2019-09-06,towr,upstream,0,,CAIS,0
nutrients,NH4,8,11,2019,2019-11-08,towr,upstream,0,,,
nutrients,NH4,9,12,2019,2019-12-09,towr,upstream,0,,,
nutrients,NO3,9,12,2019,2019-12-09,towr,upstream,0,,,
nutrients,NH4,18,12,2019,2019-12-18,towr,upstream,0,,,
nutrients,NH4,21,2,2020,2020-02-21,towr,upstream,0,,,
nutrients,NH4,6,3,2020,2020-03-06,towr,upstream,0,,,
nutrients,NH4,20,3,2020,2020-03-20,towr,upstream,0,,,
nutrients,NH4,7,4,2020,2020-04-07,towr,upstream,0,,,
nutrients,NH4,12,5,2020,2020-05-12,towr,upstream,0,,,
nutrients,NH4,9,6,2020,2020-06-09,towr,upstream,0,,,
nutrients,NH4,23,6,2020,2020-06-23,towr,upstream,0,,,
nutrients,NH4,4,8,2020,2020-08-04,towr,upstream,0,,,
nutrients,NH4,6,10,2020,2020-10-06,towr,upstream,0,,,
nutrients,NH4,20,10,2020,2020-10-20,towr,upstream,0,,,
nutrients,NH4,17,11,2020,2020-11-17,towr,upstream,0,,,
nutrients,NO3,5,1,2021,2021-01-05,towr,upstream,0,,,
nutrients,NH4,4,3,2021,2021-03-04,towr,upstream,0,,,
nutrients,NO3,4,3,2021,2021-03-04,towr,upstream,0,,,
nutrients,NH4,9,8,2021,2021-08-09,towr,upstream,0,,,
nutrients,NH4,7,7,2020,2020-07-07,towr,upstream,0.03,,,
nutrients,SRP,27,7,2021,2021-07-27,ws55,flume,0.044,,,
nutrients,NH4,3,12,2018,2018-12-03,towr,flume,0.05,,CAIS,0.05
nutrients,NO3,21,1,2021,2021-01-21,ws55,flume,0.05,,,
nutrients,NO3,21,1,2021,2021-01-21,towr,upstream,0.05,blue,,
nutrients,SRP,3,2,2020,2020-02-03,towr,flume,0.059,,,
nutrients,SRP,21,1,2021,2021-01-21,towr,flume,0.059,,,
nutrients,TN,13,7,2021,2021-07-13,towr,seep,0.062,,,
nutrients,SRP,3,12,2018,2018-12-03,towr,flume,0.07,,CAIS,0.07
nutrients,NH4,3,2,2020,2020-02-03,towr,flume,0.07,,,
nutrients,NH4,9,12,2019,2019-12-09,towr,seep,0.07,,,
nutrients,NH4,5,1,2021,2021-01-05,towr,seep,0.07,,,
nutrients,TN,1,4,2021,2021-04-01,ws55,flume,0.084,blue,,
nutrients,TN,9,8,2021,2021-08-09,ws55,seep,0.086,,,
nutrients,NO3,16,7,2018,2018-07-16,ws55,seep,0.08969842,,ESL,0.09
nutrients,NH4,15,1,2018,2018-01-15,towr,seep,0.09,,CAIS,0.09
nutrients,NO3,3,11,2020,2020-11-03,towr,flume,0.1,,,
nutrients,NO3,26,5,2020,2020-05-26,towr,seep,0.1,,,
nutrients,TN,9,8,2021,2021-08-09,ws55,flume,0.115,,,
nutrients,SRP,15,4,2021,2021-04-15,ws55,seep,0.116,,,
nutrients,TN,8,6,2021,2021-06-08,ws55,seep,0.116,,,
nutrients,SRP,8,6,2021,2021-06-08,towr,upstream,0.116,,,
nutrients,TN,9,8,2021,2021-08-09,towr,upstream,0.117,,,
nutrients,TN,12,5,2021,2021-05-12,towr,flume,0.122,blue,,
nutrients,TN,12,5,2021,2021-05-12,ws55,flume,0.128,white,,
nutrients,SRP,3,2,2020,2020-02-03,towr,seep,0.133,,,
nutrients,TN,12,5,2021,2021-05-12,ws55,flume,0.137,blue,,
nutrients,NO3,4,2,2021,2021-02-04,ws55,flume,0.15,white,,
nutrients,TN,8,6,2021,2021-06-08,towr,flume,0.154,blue,,
nutrients,TN,9,8,2021,2021-08-09,towr,flume,0.156,,,
nutrients,NH4,6,9,2019,2019-09-06,towr,flume,0.16,,CAIS,0.16
nutrients,TN,12,5,2021,2021-05-12,ws55,seep,0.174,,,
nutrients,TN,8,6,2021,2021-06-08,towr,seep,0.174,,,
nutrients,TN,13,7,2021,2021-07-13,towr,upstream,0.175,,,
nutrients,NH4,6,9,2019,2019-09-06,towr,seep,0.18,,CAIS,0.18
nutrients,NH4,22,5,2018,2018-05-22,ws55,flume,0.2,,ESL,0.2
nutrients,SRP,16,7,2018,2018-07-16,ws55,flume,0.2,,ESL,0.2
nutrients,NO3,12,5,2020,2020-05-12,ws55,seep,0.2,,,
nutrients,TN,12,5,2021,2021-05-12,towr,upstream,0.2,,,
nutrients,SRP,8,9,2020,2020-09-08,towr,flume,0.207,,,
nutrients,NO3,7,11,2018,2018-11-07,towr,seep,0.21,,CAIS,0.21
nutrients,NO3,7,11,2018,2018-11-07,ws55,seep,0.21,,CAIS,0.21
nutrients,NH4,22,10,2018,2018-10-22,ws55,seep,0.22,,CAIS,0.22
nutrients,TN,13,7,2021,2021-07-13,towr,flume,0.222,,,
nutrients,NO3,7,11,2018,2018-11-07,ws55,flume,0.23,,CAIS,0.23
nutrients,NH4,7,7,2020,2020-07-07,ws55,seep,0.23,,,
nutrients,SRP,18,3,2019,2019-03-18,towr,flume,0.24,,CAIS,0.24
nutrients,NO3,3,12,2018,2018-12-03,towr,flume,0.25,,CAIS,0.25
nutrients,SRP,27,7,2021,2021-07-27,towr,flume,0.262,,,
nutrients,TN,8,6,2021,2021-06-08,ws55,flume,0.266,white,,
nutrients,SRP,26,5,2020,2020-05-26,ws55,flume,0.281,,,
nutrients,SRP,17,11,2020,2020-11-17,ws55,flume,0.281,,,
nutrients,SRP,15,12,2020,2020-12-15,ws55,flume,0.281,,,
nutrients,TN,1,4,2021,2021-04-01,towr,upstream,0.285,,,
nutrients,NO3,8,5,2018,2018-05-08,towr,seep,0.288790792,,ESL,0.29
nutrients,TN,1,4,2021,2021-04-01,towr,flume,0.302,blue,,
nutrients,TN,12,5,2021,2021-05-12,towr,flume,0.305,white,,
nutrients,NH4,22,10,2018,2018-10-22,towr,seep,0.32,,CAIS,0.32
nutrients,NH4,3,2,2020,2020-02-03,ws55,seep,0.32,,,
nutrients,NO3,9,12,2019,2019-12-09,towr,seep,0.34,,,
nutrients,TN,1,4,2021,2021-04-01,ws55,flume,0.35,white,,
nutrients,SRP,5,1,2021,2021-01-05,ws55,flume,0.355,white,,
nutrients,SRP,15,12,2020,2020-12-15,towr,seep,0.355,,,
nutrients,NO3,7,11,2018,2018-11-07,towr,flume,0.38,,CAIS,0.38
nutrients,NO3,9,8,2021,2021-08-09,ws55,seep,0.39,,,
nutrients,TN,9,8,2021,2021-08-09,towr,seep,0.391,,,
nutrients,NO3,19,2,2019,2019-02-19,towr,upstream,0.4,,CAIS,0.4
nutrients,NO3,27,9,2019,2019-09-27,ws55,seep,0.42,,,
nutrients,NO3,16,3,2021,2021-03-16,towr,upstream,0.42,blue,,
nutrients,TN,13,7,2021,2021-07-13,ws55,seep,0.449,,,
nutrients,NO3,15,4,2021,2021-04-15,ws55,seep,0.46,,,
nutrients,SRP,3,2,2020,2020-02-03,ws55,seep,0.466,,,
nutrients,NO3,12,6,2019,2019-06-12,towr,seep,0.47,,CAIS,0.47
nutrients,TN,12,5,2021,2021-05-12,towr,seep,0.475,,,
nutrients,SRP,16,7,2018,2018-07-16,towr,flume,0.5,,ESL,0.5
nutrients,NO3,9,12,2019,2019-12-09,ws55,flume,0.5,,,
nutrients,NO3,21,1,2021,2021-01-21,ws55,seep,0.5,,,
nutrients,NO3,24,4,2020,2020-04-24,towr,upstream,0.5,,,
nutrients,SRP,8,9,2020,2020-09-08,ws55,seep,0.503,,,
nutrients,SRP,3,2,2020,2020-02-03,towr,upstream,0.503,,,
nutrients,NH4,22,10,2018,2018-10-22,ws55,flume,0.51,,CAIS,0.51
nutrients,SRP,5,3,2019,2019-03-05,ws55,flume,0.51,,CAIS,0.51
nutrients,NO3,1,12,2020,2020-12-01,ws55,flume,0.53,,,
nutrients,NO3,6,1,2020,2020-01-06,towr,seep,0.53,,,
nutrients,SRP,15,4,2021,2021-04-15,ws55,flume,0.534,blue,,
nutrients,SRP,11,10,2019,2019-10-11,towr,flume,0.54,,,
nutrients,SRP,8,6,2021,2021-06-08,towr,seep,0.552,,,
nutrients,NH4,15,1,2019,2019-01-15,ws55,seep,0.56,,CAIS,0.56
nutrients,SRP,31,5,2021,2021-05-31,towr,flume,0.571,blue,,
nutrients,SRP,31,5,2021,2021-05-31,ws55,seep,0.571,,,
nutrients,SRP,22,9,2020,2020-09-22,towr,upstream,0.571,,,
nutrients,SRP,17,11,2020,2020-11-17,towr,flume,0.577,,,
nutrients,SRP,25,10,2019,2019-10-25,ws55,seep,0.577,,,
nutrients,NO3,21,2,2020,2020-02-21,towr,seep,0.58,,,
nutrients,NO3,1,12,2020,2020-12-01,towr,seep,0.58,,,
nutrients,SRP,1,2,2019,2019-02-01,ws55,flume,0.61,,CAIS,0.61
nutrients,SRP,31,5,2021,2021-05-31,towr,flume,0.625,white,,
nutrients,TN,8,6,2021,2021-06-08,ws55,flume,0.662,blue,,
nutrients,NO3,2,1,2019,2019-01-02,ws55,seep,0.67,,CAIS,0.67
nutrients,NO3,3,10,2018,2018-10-03,ws55,seep,0.68,,CAIS,0.68
nutrients,SRP,11,10,2019,2019-10-11,ws55,flume,0.688,,,
nutrients,NH4,4,3,2021,2021-03-04,towr,flume,0.69,white,,
nutrients,NO3,6,1,2020,2020-01-06,towr,upstream,0.69,,,
nutrients,NH4,17,5,2019,2019-05-17,towr,flume,0.7,,CAIS,0.7
nutrients,SRP,8,5,2018,2018-05-08,towr,upstream,0.7,,ESL,0.7
nutrients,TN,1,4,2021,2021-04-01,towr,flume,0.701,white,,
nutrients,SRP,2,1,2019,2019-01-02,towr,flume,0.71,,CAIS,0.71
nutrients,SRP,21,1,2021,2021-01-21,ws55,seep,0.725,,,
nutrients,SRP,26,5,2020,2020-05-26,towr,upstream,0.725,,,
nutrients,NO3,29,1,2018,2018-01-29,ws55,flume,0.73,,CAIS,0.73
nutrients,SRP,5,3,2019,2019-03-05,towr,flume,0.74,,CAIS,0.74
nutrients,NO3,5,1,2021,2021-01-05,towr,flume,0.77,white,,
nutrients,SRP,22,9,2020,2020-09-22,towr,flume,0.77,,,
nutrients,NO3,3,12,2018,2018-12-03,towr,upstream,0.77,,CAIS,0.77
nutrients,SRP,2,7,2021,2021-07-02,towr,flume,0.789,white,,
nutrients,NO3,26,5,2020,2020-05-26,towr,flume,0.79,,,
nutrients,SRP,17,11,2020,2020-11-17,towr,seep,0.799,,,
nutrients,SRP,14,9,2017,2017-09-14,towr,flume,0.8,,CAIS,0.8
nutrients,NO3,18,12,2018,2018-12-18,towr,seep,0.81,,CAIS,0.81
nutrients,NH4,21,1,2021,2021-01-21,ws55,seep,0.81,,,
nutrients,TN,1,4,2021,2021-04-01,towr,seep,0.824,,,
nutrients,NO3,19,2,2019,2019-02-19,ws55,seep,0.83,,CAIS,0.83
nutrients,SRP,1,12,2020,2020-12-01,towr,upstream,0.836,,,
nutrients,NO3,27,7,2021,2021-07-27,towr,seep,0.86,,,
nutrients,SRP,13,7,2021,2021-07-13,towr,flume,0.861,,,
nutrients,SRP,2,7,2021,2021-07-02,towr,upstream,0.861,,,
nutrients,SRP,5,3,2019,2019-03-05,ws55,seep,0.87,,CAIS,0.87
nutrients,SRP,17,11,2020,2020-11-17,ws55,seep,0.873,,,
nutrients,SRP,15,4,2021,2021-04-15,towr,seep,0.88,,,
nutrients,SRP,8,6,2021,2021-06-08,ws55,flume,0.898,white,,
nutrients,SRP,13,7,2021,2021-07-13,ws55,seep,0.898,,,
nutrients,SRP,15,1,2018,2018-01-15,ws55,seep,0.9,,CAIS,0.9
nutrients,SRP,5,1,2021,2021-01-05,towr,seep,0.91,,,
nutrients,SRP,15,4,2021,2021-04-15,towr,upstream,0.916,,,
nutrients,SRP,31,5,2021,2021-05-31,ws55,flume,0.934,blue,,
nutrients,SRP,21,1,2021,2021-01-21,towr,seep,0.947,white,,
nutrients,NO3,17,11,2020,2020-11-17,ws55,seep,0.95,,,
nutrients,NO3,20,10,2020,2020-10-20,towr,upstream,0.95,,,
nutrients,NO3,31,5,2021,2021-05-31,ws55,seep,0.97,,,
nutrients,NH4,18,12,2018,2018-12-18,ws55,seep,0.98,,CAIS,0.98
nutrients,NH4,4,8,2020,2020-08-04,ws55,seep,0.98,,,
nutrients,SRP,8,6,2021,2021-06-08,ws55,seep,0.989,,,
nutrients,NO3,8,11,2019,2019-11-08,towr,flume,0.99,,,
nutrients,SRP,8,5,2018,2018-05-08,towr,flume,1,,ESL,1
nutrients,NH4,8,5,2018,2018-05-08,towr,seep,1,,ESL,1
nutrients,NO3,18,3,2019,2019-03-18,ws55,seep,1,,CAIS,1
nutrients,SRP,27,7,2021,2021-07-27,ws55,seep,1.007,,,
nutrients,NO3,12,5,2021,2021-05-12,ws55,seep,1.01,,,
nutrients,NO3,1,2,2019,2019-02-01,ws55,flume,1.02,,CAIS,1.02
nutrients,SRP,27,9,2019,2019-09-27,towr,flume,1.021,,,
nutrients,SRP,1,12,2020,2020-12-01,ws55,flume,1.021,,,
nutrients,NO3,3,11,2020,2020-11-03,ws55,flume,1.04,,,
nutrients,NO3,4,3,2021,2021-03-04,ws55,flume,1.04,,,
nutrients,SRP,13,7,2021,2021-07-13,ws55,flume,1.043,,,
nutrients,SRP,9,8,2021,2021-08-09,ws55,flume,1.043,,,
nutrients,NO3,2,1,2019,2019-01-02,ws55,flume,1.05,,CAIS,1.05
nutrients,SRP,2,1,2019,2019-01-02,towr,seep,1.05,,CAIS,1.05
nutrients,NH4,15,1,2019,2019-01-15,towr,flume,1.06,,CAIS,1.06
nutrients,NH4,18,12,2017,2017-12-18,ws55,seep,1.06,,CAIS,1.06
nutrients,NH4,13,7,2021,2021-07-13,ws55,seep,1.06,,,
nutrients,SRP,22,9,2020,2020-09-22,ws55,seep,1.079,,,
nutrients,SRP,27,7,2021,2021-07-27,towr,upstream,1.079,,,
nutrients,NH4,3,10,2018,2018-10-03,towr,seep,1.08,,CAIS,1.08
nutrients,NO3,18,3,2019,2019-03-18,towr,upstream,1.08,,CAIS,1.08
nutrients,NO3,11,10,2019,2019-10-11,towr,seep,1.09,,,
nutrients,SRP,6,3,2020,2020-03-06,ws55,flume,1.095,,,
nutrients,SRP,26,5,2020,2020-05-26,towr,flume,1.095,,,
nutrients,SRP,1,12,2020,2020-12-01,towr,seep,1.095,,,
nutrients,NH4,12,2,2018,2018-02-12,towr,flume,1.1,,CAIS,1.1
nutrients,NO3,17,5,2019,2019-05-17,towr,seep,1.11,,CAIS,1.11
nutrients,NH4,24,4,2019,2019-04-24,towr,flume,1.12,,CAIS,1.12
nutrients,NH4,13,7,2021,2021-07-13,towr,upstream,1.13,,,
nutrients,SRP,20,10,2020,2020-10-20,towr,flume,1.132,,,
nutrients,SRP,11,10,2019,2019-10-11,towr,seep,1.132,,,
nutrients,NO3,15,1,2019,2019-01-15,towr,flume,1.14,,CAIS,1.14
nutrients,SRP,12,5,2021,2021-05-12,ws55,seep,1.152,,,
nutrients,SRP,4,3,2021,2021-03-04,towr,flume,1.169,blue,,
nutrients,SRP,9,6,2020,2020-06-09,ws55,flume,1.169,,,
nutrients,SRP,17,11,2020,2020-11-17,towr,upstream,1.169,,,
nutrients,SRP,12,5,2021,2021-05-12,towr,upstream,1.188,,,
nutrients,SRP,29,5,2019,2019-05-29,ws55,seep,1.19,,CAIS,1.19
nutrients,NO3,5,3,2019,2019-03-05,ws55,flume,1.2,,CAIS,1.2
nutrients,SRP,21,1,2021,2021-01-21,towr,upstream,1.206,blue,,
nutrients,SRP,4,8,2020,2020-08-04,towr,upstream,1.206,,,
nutrients,SRP,12,5,2021,2021-05-12,towr,flume,1.207,white,,
nutrients,SRP,6,9,2019,2019-09-06,towr,seep,1.21,,CAIS,1.21
nutrients,NO3,19,2,2019,2019-02-19,ws55,flume,1.22,,CAIS,1.22
nutrients,NO3,20,11,2018,2018-11-20,ws55,flume,1.23,,CAIS,1.23
nutrients,NH4,21,1,2021,2021-01-21,towr,seep,1.23,white,,
nutrients,NO3,19,9,2018,2018-09-19,ws55,seep,1.23,,CAIS,1.23
nutrients,NO3,23,8,2019,2019-08-23,towr,seep,1.23,,CAIS,1.23
nutrients,SRP,25,10,2019,2019-10-25,ws55,flume,1.243,,,
nutrients,SRP,9,6,2020,2020-06-09,ws55,seep,1.243,,,
nutrients,NH4,7,7,2020,2020-07-07,ws55,flume,1.27,,,
nutrients,SRP,1,4,2021,2021-04-01,ws55,seep,1.279,,,
nutrients,NH4,6,9,2019,2019-09-06,ws55,flume,1.29,,CAIS,1.29
nutrients,NH4,22,5,2018,2018-05-22,towr,flume,1.3,,ESL,1.3
nutrients,NO3,15,1,2019,2019-01-15,towr,seep,1.3,,CAIS,1.3
nutrients,SRP,15,4,2021,2021-04-15,ws55,flume,1.316,white,,
nutrients,SRP,1,4,2021,2021-04-01,towr,seep,1.316,,,
nutrients,NO3,20,3,2020,2020-03-20,ws55,seep,1.32,,,
